gutenberg_id,title,authors,languages,subjects,bookshelves,download_count,copyright
1170,Anabasis,Xenophon,en,"Classical literature, Cyrus, the Younger, approximately 423 B.C.-401 B.C., Greece -- History -- Expedition of Cyrus, 401 B.C.","Category: Adventure, Category: History - Ancient",6993,false
5230,The Invisible Man: A Grotesque Romance,"Wells, H. G. (Herbert George)",en,"Mentally ill -- Fiction, Psychological fiction, Science fiction","Category: British Literature, Category: Novels, Category: Science-Fiction & Fantasy",6991,false
20239,The Ten Books on Architecture,Vitruvius Pollio,en,Architecture -- Early works to 1800,"Architecture, Category: Architecture",6991,false
51356,"The Birth of Tragedy; or, Hellenism and Pessimism","Nietzsche, Friedrich Wilhelm",en,"Aesthetics, Greek drama (Tragedy) -- History and criticism -- Theory, etc., Music -- Philosophy and aesthetics","Category: Classics of Literature, Category: Philosophy & Ethics",6969,false
50922,Perpetual Peace: A Philosophical Essay,"Kant, Immanuel",en,Peace,"Category: Essays, Letters & Speeches, Category: History - Early Modern (c. 1450-1750), Category: Philosophy & Ethics",6891,false
22120,"Chaucer's Works, Volume 4 — The Canterbury Tales","Chaucer, Geoffrey",enm,Christian pilgrims and pilgrimages -- Poetry,"Best Books Ever Listings, Category: British Literature, Category: Classics of Literature",6887,false
4367,"Personal Memoirs of U. S. Grant, Complete","Grant, Ulysses S. (Ulysses Simpson)",en,"Generals -- United States -- Biography, Grant, Ulysses S. (Ulysses Simpson), 1822-1885, Mexican War, 1846-1848 -- Personal narratives","Category: Biographies, Category: History - American, Category: History - Warfare",6863,false
13415,The Lady with the Dog and Other Stories,"Chekhov, Anton Pavlovich",en,"Chekhov, Anton Pavlovich, 1860-1904 -- Translations into English, Russia -- Social life and customs -- Fiction","Category: Russian Literature, Category: Short Stories",6862,false
6400,"The Lives of the Twelve Caesars, Complete",Suetonius,en,"Emperors -- Rome -- Biography -- Early works to 1800, Rome -- History -- Empire, 30 B.C.-284 A.D.","Category: Biographies, Category: History - Ancient",6855,false
108,The Return of Sherlock Holmes,"Doyle, Arthur Conan",en,"Detective and mystery stories, English, Holmes, Sherlock (Fictitious character) -- Fiction, Private investigators -- England -- Fiction","Category: British Literature, Category: Crime, Thrillers and Mystery, Category: Short Stories",6789,false
9662,An Enquiry Concerning Human Understanding,"Hume, David",en,"Ethics, Knowledge, Theory of","Category: History - Early Modern (c. 1450-1750), Category: Philosophy & Ethics, Harvard Classics",6733,false
14977,The Red Record: Tabulated Statistics and Alleged Causes of Lynching in the United States,"Wells-Barnett, Ida B.",en,"African Americans -- History -- 1877-1964, Lynching -- United States, Lynching -- United States -- Statistics","African American Writers, Category: History - American, Category: History - Modern (1750+)",6697,false
71,On the Duty of Civil Disobedience,"Thoreau, Henry David",en,"Civil disobedience, Government, Resistance to","Category: American Literature, Category: Essays, Letters & Speeches, Category: Philosophy & Ethics",6691,false
3177,Roughing It,"Twain, Mark",en,"Authors, American -- Homes and haunts -- West (U.S.), Hawaii -- Description and travel, Twain, Mark, 1835-1910 -- Travel -- West (U.S.)","Category: American Literature, Category: Humour, Category: Travel Writing",6671,false
14328,The Consolation of Philosophy,Boethius,en,"Happiness, Philosophy and religion","Category: Classics of Literature, Category: Philosophy & Ethics, Classical Antiquity",6637,false
5307,The Letters of Wolfgang Amadeus Mozart — Volume 01,"Mozart, Wolfgang Amadeus",en,"Composers -- Austria -- Correspondence, Mozart, Wolfgang Amadeus, 1756-1791 -- Correspondence","Category: Biographies, Category: Essays, Letters & Speeches, Category: Music",6611,false
32474,"The Memoirs of the Conquistador Bernal Diaz del Castillo, Vol 1 (of 2): Written by Himself Containing a True and Full Account of the Discovery and Conquest of Mexico and New Spain.","Díaz del Castillo, Bernal",en,"Mexico -- History -- Conquest, 1519-1540","Category: Biographies, Category: History - European, Category: History - Other",6575,false
23700,The Decameron of Giovanni Boccaccio,"Boccaccio, Giovanni",en,"Allegories, Frame stories, Plague -- Europe -- History -- Fiction","Best Books Ever Listings, Category: Classics of Literature, Category: Short Stories",6549,false
